Id;Tipo;Corpo Descricao;Data Publicado;Busca Parametro 2;Id Externo
42267269;twittersearch;"Dólar começa 2011 no menor nível em mais de 2 anos, a R$ 1,65; Bovespa sobe http://bit.ly/fVKtot";03/01/11 17:34;pt;resendejes
42267272;twittersearch;"Dólar começa 2011 no menor nível em mais de 2 anos, a R$ 1,65; Bovespa sobe: Com o mercado de ações em alta e o ... http://bit.ly/exxnrG";03/01/11 17:34;pt;comuniquebrinde
42265561;twittersearch;Empresas listadas na Bovespa batem recorde de valor de mercado http://bit.ly/iaxG0d;03/01/11 17:33;pt;Investne
42265563;twittersearch;Bovespa tem pior valorização das Américas em 2010 - ExpressoMT http://dlvr.it/CbWn7 #ibov #bovespa;03/01/11 17:31;pt;equipeidoji
42265562;twittersearch;Bovespa tem pior valorização das Américas em 2010 - ExpressoMT http://dlvr.it/CbWms #ibov #bovespa;03/01/11 17:31;pt;idojibovespa
42265564;twittersearch;um dia eu chego la... http://bit.ly/eamKZp;03/01/11 17:29;pt;owkenny
42265566;twittersearch;bovespa diminui o ritmo, mas deve fechar com alta neste primeiro pregão do ano....;03/01/11 17:29;pt;Vijayinveste
42265565;twittersearch;RT @ajsinvest: Empresas na Bovespa fecham 2010 com valor recorde, diz Economatica;03/01/11 17:29;pt;_fabiopereira
42265567;twittersearch;RT @ajsinvest: Bovespa opera em alta no primeiro pregão do ano;03/01/11 17:29;pt;_fabiopereira
42265568;twittersearch;Empresas na Bovespa fecham 2010 com valor recorde, diz Economatica;03/01/11 17:27;pt;ajsinvest
42265569;twittersearch;Bovespa opera em alta no primeiro pregão do ano;03/01/11 17:26;pt;ajsinvest
42265570;twittersearch;"@SegundoPlanoBR Dólar começa 2011 no menor nível em mais de 2 anos, a R$ 1,65; Bovespa sobe http://bit.ly/hZVNml @infonuevo @GOGYN";03/01/11 17:25;pt;SegundoPlanoBR
42265571;twittersearch;"Dólar começa 2011 no menor nível em mais de 2 anos, a R$ 1,65; Bovespa sobe: Folha Online http://bit.ly/hDZIwq";03/01/11 17:25;pt;gadoderaca
42265572;twittersearch;RT @uinstante: Ativa divulga carteira recomendada semanal - Nas últimas quatro semanas, a Carteira da Ativa acumula retorno positiv http://twurl.nl/1rqc6z;03/01/11 17:23;pt;KKawanishi
42264573;twittersearch;"Bolsas: BOVESPA: 70.059,31 pontos / 1,09%; DOW JONES: 11.706,13 pontos / 1,11%; NASDAQ: 2.694,71 pontos / 1,57% (via portal exame)";03/01/11 17:23;pt;wj_negocios
42264574;twittersearch;RT @EmpreendeWeb: @EmpreendeWeb Bovespa abre inscrições de curso para PMEs Em parceria com a Babson College, a bolsa quer aproximar os emp http://tiny.ly/RoBi;03/01/11 17:22;pt;TianeRamos
42264575;twittersearch;"Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos http://uol.com/bgzlt @UOLEconomia #UOL";03/01/11 17:21;pt;DouglasKsh
42264576;twittersearch;RT @EmpreendeWeb: @EmpreendeWeb Bovespa abre inscrições de curso para PMEs Em parceria com a Babson College, a bolsa quer aproximar os emp http://tiny.ly/RoBi;03/01/11 17:17;pt;crisguimaraes10
42264577;twittersearch;Valor: Socopa mantém carteira recomendada para janeiro inalterada http://bit.ly/gqD23X #mercado #bovespa;03/01/11 17:17;pt;lopesbravo
42264578;twittersearch;@EmpreendeWeb Bovespa abre inscrições de curso para PMEs Em parceria com a Babson College, a bolsa quer aproximar os emp http://tiny.ly/RoBi;03/01/11 17:16;pt;EmpreendeWeb
42264579;twittersearch;RT @uinstante: Carteira da Socopa fica inalterada em janeiro - Veja a lista completa: Copel, Gafisa, Petrobras, OGX e Vale. http://twurl.nl/i5tp2x;03/01/11 17:14;pt;KKawanishi
42264580;twittersearch;Dólar fecha a R$ 1,651 na venda, depreciação de 0,90% e menor valor desde setembro de 2008. http://ow.ly/3xzvR;03/01/11 17:14;pt;OGlobo_Economia
42264581;twittersearch;Agência Brasil: Inscrições do Sisu começam em janeiro e lista dos aprovados da primeira chamada sai em ... http://bit.ly/guJnhf #bovespa;03/01/11 17:12;pt;lopesbravo
42263574;twittersearch;RT@exame noticias Bovespa abre inscrições de curso para PMEs http://bit.ly/eamKZp;03/01/11 17:09;pt;FaculdadedoPovo
42269160;twittersearch;BM&FBovespa abre inscrições a empreendedores brasileiros: O Instituto Educacional BM&Fbovespa abre amanhã as ins... http://bit.ly/h0D45L;03/01/11 17:07;all;IN_Financas
42263576;twittersearch;(InfoMoney) Petrobras convoca acionistas para participar via internet de assembleia http://bit.ly/fphZ9K #mercado #bovespa;03/01/11 17:04;pt;lopesbravo
42263575;twittersearch;(InfoMoney) Meirelles declara que sua missão como autoridade monetária está cumprida http://bit.ly/htojmv #mercado #bovespa;03/01/11 17:04;pt;lopesbravo
